Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
Problem Solving Using Computational Thinking,University of Michigan,Beginner,4.7,https://www.coursera.org/learn/compthinking,"Have you ever heard that computers ""think""? Believe it or not, computers really do not think. Instead, they do exactly what we tell them to do. Programming is, ""telling the computer what to do and how to do it.""  Before you can think about programming a computer, you need to work out exactly what it is you want to tell the computer to do. Thinking through problems this way is Computational Thinking. Computational Thinking allows us to take complex problems, understand what the problem is, and develop solutions. We can present these solutions in a way that both computers and people can understand.  The course includes an introduction to computational thinking and a broad definition of each concept, a series of real-world cases that illustrate how computational thinking can be used to solve complex problems, and a student project that asks you to apply what they are learning about Computational Thinking in a real-world situation. This project will be completed in stages (and milestones) and will also include a final disaster response plan you'll share with other learners like you.  This course is designed for anyone who is just beginning programming, is thinking about programming or simply wants to understand a new way of thinking about problems critically. No prior programming is needed. The examples in this course may feel particularly relevant to a High School audience and were designed to be understandable by anyone.  You will learn: -To define Computational Thinking components including abstraction, problem identification, decomposition, pattern recognition, algorithms, and evaluating solutions -To recognize Computational Thinking concepts in practice through a series of real-world case examples -To develop solutions through the application of Computational Thinking concepts to real world problems",Epidemiology  relative change and difference  decomposition  Problem Solving  evaluation  problem statement  Computational Thinking  human trafficking  Algorithms  hindley milner type system computer-science algorithms
"Surveillance Systems: Analysis, Dissemination, and Special Systems",Johns Hopkins University,Intermediate,4.7,https://www.coursera.org/learn/epidemiology-surveillance-systems-analysis,"In this course, we'll build on the previous lessons in this specialization to focus on some very specific skills related to public health surveillance. We'll learn how to get the most out of surveillance data analysis, focusing specifically on interpreting time trend data to detect temporal aberrations as well as person, place, and time in the context of surveillance data. We'll also explore strategies for the presentation of surveillance data and some of the complex legal elements that affect its use. We'll then turn our attention to surveillance of non-communicable chronic diseases and how the data can be used to support prevention efforts. Finally, we'll explore special surveillance systems, such as syndromic surveillance, antimicrobial resistance, and event-related surveillance. This course is designed for public health practitioners with a focus on those working on health surveillance in municipal, regional, state, provincial, or even national public health agencies. We really think that this course will help those with an interest in health surveillance to see which approaches are used in actual practice of public health.",disease  disease surveillance  Epidemiology  public health surveillance  antimicrobial resistance  public health  antimicrobials  prevention  non-communicable disease  risk factors life-sciences public-health
Control physics with C# in Unity,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/controlling-physics-c-sharp-unity,"In this two-hour-long, project-based course, you will be introduced to basic coding principles for controlling Physics in Unity. This project covers moving objects by applying various types of forces and creating new behavior for objects when idle, when clicked, and when they collide with other objects.  The guided project will familiarize you with the following Physics-based Unity components:  - Rigidbody  - Physic Material  - Force  - Torque  - Explosions",c++  Computer Programming  c sharp (programming language)  video game development  language  Cartogram  physics  animation software  Civil Engineering  Electrical Engineering computer-science software-development
Create Relational Database Tables Using SQLiteStudio,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/create-relational-database-table-sqlitestudio,"In this project-based course, you will learn how to use the SQLiteStudio database management system to create a relational database, add tables to the database, and populate the tables.    Data is at the heart of all computing practices and plays an important role in our business and personal lives. Data is manipulated by programs, displayed on web browsers, transferred from location to location by networking systems, and used for business and personal decision making. Organizing, storing and safeguarding data in a database is the main purpose of database management software. Since data is such a large part of your life--whether used for your mobile phone address list or your medical record at your doctorï¿½s office--wouldnï¿½t it be great to know a little more about how a database works? By the end of this project, you will have a new appreciation for the importance of data and how itï¿½s organized in a database.  Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.",database management systems  Databases  web browsers  BlockChain  relational database  sqlite  web  Average  SQL  table (database) information-technology data-management
Spacecraft Dynamics Capstone: Mars Mission,University of Colorado Boulder,Advanced,4.8,https://www.coursera.org/learn/capstone-mars-mission,"The goal of this capstone spacecraft dynamics project is to employ the skills developed in the rigid body Kinematics, Kinetics and Control courses.  An exciting two-spacecraft mission to Mars is considered where a primary mother craft is in communication with a daughter vehicle in another orbit.  The challenges include determining the kinematics of the orbit frame and several desired reference frames, numerically simulating the attitude dynamics of the spacecraft in orbit, and implementing a feedback control that then drives different spacecraft body frames to a range of mission modes including sun pointing for power generation, nadir pointing for science gathering, mother spacecraft pointing for communication and data transfer.  Finally, an integrated mission simulation is developed that implements these attitude modes and explores the resulting autonomous closed-loop performance.   Tasks 1 and 2 use three-dimensional kinematics to create the mission related orbit simulation and the associated orbit frames.  The introductory step ensures the satellite is undergoing the correct motion, and that the orbit frame orientation relative to the planet is being properly evaluated.  Tasks 3 through 5 create the required attitude reference frame for the three attitude pointing modes called sun-pointing, nadir-pointing and GMO-pointing.  The reference attitude frame is a critical component to ensure the feedback control drives the satellite to the desired orientation.  The control employed remains the same for all three pointing modes, but the performance is different because different attitude reference frames are employed.    Tasks 6 through 7 create simulation routines to first evaluate the attitude tracking error between a body-fixed frame and a particular reference frame of the current attitude mode.  Next the inertial attitude dynamics is evaluated through a numerical simulation to be able to numerically analyze the control performance.  Tasks 8-11 simulate the closed-loop attitude performance for the three attitude modes.  Tasks 8 through 10 first simulate a single attitude at a time, while tasks 11 develops a comprehensive attitude mission simulation which considers the attitude modes switching autonomously as a function of the spacecraft location relative to the planet.",simulation  daughter  autonomous cars  tracking  numerical analysis  Framing  computer simulation  satellite  Mechanical Engineering  physics physical-science-and-engineering physics-and-astronomy
Guided Imagery,University of Minnesota,Intermediate,4.8,https://www.coursera.org/learn/guided-imagery,"In this course, you will learn how you can use imagery and imagery interventions to help with symptom management and healing, as well as to enhance overall health and wellbeing. You will experience a variety of imagery interventions and evaluate how they might be helpful in providing relief or enhancing quality of life.  By the end of the course, you will know how to assess if guided imagery is appropriate in specific situations or with specific patients. You will be able to find and evaluate guided imagery scripts and recordings you might use.  Most importantly, you will learn how to write and record effective guided imagery scripts of your own for specific needs at work or in your personal life.   Continuing Education Credit This course has been designed to meet Minnesota Board of Nursing continuing education requirements for 14.5 contact hours and may be eligible for CE credit from other professional boards that allow self-documenting of continuing education activities. It is your responsibility to check with your regulatory board to confirm this course meets your local requirements and, if necessary, to provide them with the certificate of completion you get if you pay for and fulfill all the requirements of this course.  This course is also approved by ICHWC (Health Coaching) for 14.5 continuing education units (CEP # 100057).",functional medicine  music  meditation  counseling psychology  psychotherapy  healing  guided imagery  patient  hypnosis  naturopathy life-sciences research
Making Architecture,IE Business School,Intermediate,4.8,https://www.coursera.org/learn/making-architecture,"Making architecture offers a unique insight into the mind and work of an Architect, starting with the basics of the profession and culminating with the production of a scaled site model.  The course should act as ideal preparation for those interested in undertaking an undergraduate degree in Architecture, although its flexible, intriguing and enjoyable content makes it accessible for all those looking to increase their knowledge in the field.  Delivered primarily by Professors from the IE School of Architecture and design in Segovia (Spain), the course begins by examining the mind-set of an Architect - asking how they think and what they do to train their creative minds, moving on to using inspiration from the environment to stimulate design ideas.  Finally, the course concludes by looking at some of the more technical aspects of Architecture - such as composition, form, space and hierarchy - and stressing the importance of creating a story that helps define your design.  This fascinating content is delivered principally from the stunning design studio at the IE school of Architecture and features external videos from a few beautiful locations in the city of Segovia.  Finally, it includes interviews from Pritzker Prize executive director - and Dean of the school of Architecture and design at IE - Martha Thorne, with a number of award winning practising architects such as Sarah Wigglesworth and Cristoph Ingenhoven.",Design Analysis  modeling  Interior Design  architecture  thought  architectural design  Landscape Design  Landscape Architecture  analysis  Creativity arts-and-humanities music-and-art
Building Resilient Streaming Analytics Systems on GCP,Google Cloud,Advanced,4.6,https://www.coursera.org/learn/streaming-analytics-systems-gcp,"*Note: this is a new course with updated content from what you may have seen in the previous version of this Specialization.  Processing streaming data is becoming increasingly popular as streaming enables businesses to get real-time metrics on business operations. This course covers how to build streaming data pipelines on Google Cloud Platform. Cloud Pub/Sub is described for handling incoming streaming data. The course also covers how to apply aggregations and transformations to streaming data using Cloud Dataflow, and how to store processed records to BigQuery or Cloud Bigtable for analysis. Learners will get hands-on experience building streaming data pipeline components on Google Cloud Platform using QwikLabs.  New! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud Enroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate  or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits;   => Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching  => 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests",Cloud Computing  bigquery  bigtable  dataflow  query optimization  stream processing  Google Cloud Platform  streams  mathematical optimization  publish subscribe pattern information-technology cloud-computing
Types of Conflict,"University of California, Irvine",Intermediate,4.3,https://www.coursera.org/learn/types-of-conflict,"Conflict is everywhere and it is impossible to avoid conflicting viewpoints. However, not all conflict is bad, nor is it inherently negative. How conflict is handled makes all the difference. It is through proper identification and understanding of conflict that allows for effective resolutions, some of which may yield positive outcomes. In this course, we will examine the different types of conflict, how to understand and embrace the positive aspects of conflict, and how to successfully navigate conflict to positive resolution.  This course presents the material though video lessons, case studies, and interviews. In each module students will be presented with in-video quiz questions to test their understanding. To further their mastery of the content students will also be asked to complete two peer reviewed assignments.  Upon completing this course, you will be able to: 1.       Identify the different types of conflict 2.       Illustrate the positive aspects of conflict 3.       Provide examples of positive ways to deal with conflict",conflict resolution  Leadership and Management  Office Administration  active listening  Communication  Employee Relations  sociology  psychology  interpersonal communication  Conflict Management business business-essentials
Product Design: Designing a modern table lamp using SketchUp,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/product-design-designing-a-modern-table-lamp-using-sketchup,"In this 1 hour long project, you will learn how to conduct a complete research on the basic dimensions of a Table Lamp, design the Table Lamp using the right measurements, Render the design, add visual elements and create a scene suitable for it.   Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.",sketchup  lamp (software bundle)  Web Design  Graphic Design  Graphics Software  3d graphics software  rendering (computer graphics)  Product Design  Computer Graphics  3d computer graphics computer-science design-and-product
Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,Beginner,4.6,https://www.coursera.org/learn/beyond-the-sustainable-development-goals-addressing-sustainability-and-development,"Weï¿½re excited youï¿½re here! This course, ï¿½Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,ï¿½ is the first course in the upcoming Sustainability and Development MasterTrack Certificate program (Fall 2020), but you can also take this course as a stand-alone learning opportunity.   Sustainability and development pose unprecedented challenges as human societies grow and seek to ensure future wellbeing and prosperity. In this course, weï¿½ll focus on addressing the twin challenges of sustainability and development with actionable knowledge for innovating solutions to the worldï¿½s most pressing problems like climate change, poverty and inequality, and biodiversity loss and ecosystem degradation. Rather than sustainability being a qualifier for development (e.g. sustainable development), we conceptualize Sustainability and Development as co-equal fields of inquiry and action that seek to build bridges between the natural, social and applied sciences and the humanities. When sustainability and development are placed on an equal footing, it requires us to think more explicitly about the trade-offs, co-benefits and synergies between them, which we will be exploring in depth in each week.  Throughout the course, you will be introduced to the theoretical currents in Sustainability and Development, and will garner an in-depth understanding of the United Nationsï¿½ 17 Sustainable Development Goals (SDGs). We will also consider the methods and skills necessary for designing innovative solutions to sustainability and development problems through the emerging field of Sustainability Science.  In this course, we will explore three of the most pressing challenges undergirding the  Sustainable Development Goals (SDGs) including climate change, poverty and inequality, and ecosystem degradation and biodiversity loss, with case studies to guide and challenge our thinking. In the final week of the course, we will discuss the trade-offs, co-benefits and synergies between these challenges, especially as they relate to designing innovative solutions for achieving  our sustainability and development goals.  By the end of this course, you will be able to: 1. Understand and explain the worldï¿½s most pressing problems with a specific focus on poverty & inequality, ecosystem degradation and biodiversity loss, and climate change. 2. Critically analyze the Sustainable Development Goals (SDGs) and their relationship to the worldï¿½s most pressing problems. 3. Use frameworks and evidence necessary to develop solutions. 4. Assess relevant solutions that would help realize the SDGs and at the same time solve the pressing problems.  5. Apply skills learned to implement solutions.",ecotourism  the economics of ecosystems and biodiversity  political science  circular economy  history  economics of sustainability  sustainability  climate change  biodiversity  biodiversity loss social-sciences governance-and-society
The New Nordic Diet - from Gastronomy to Health,University of Copenhagen,Beginner,4.5,https://www.coursera.org/learn/new-nordic-diet,"The New Nordic Diet is a new food culture developed in 2009-13 with key emphasis on gastronomy, health, and environment. Major research in its effect on acceptability, behaviour and learning skills, and disease prevention have been conducted by the OPUS centre at the University of Copenhagen and the people behind the award-winning restaurant Noma in Copenhagen.  This course will give the participants the opportunity to experience a healthy and palatable new food and eating concept diet ï¿½The New Nordic Dietï¿½ and an understanding of how food and diets can affect mental and physical health and ensure the foundation for a healthier life style for future generations with a regional based diet and food culture.    In Denmark ï¿½the Nordic cuisineï¿½, has expanded from food eaten at the award-winning Copenhagen restaurant Noma to home-made dishes of local ingredients of whole-grain rye bread, root vegetables, berries, fresh fish and seaweed.  This course is also part of the EIT Health Programme",dietetics  dieting  sustainability  cardiovascular disease  diet (nutrition)  acceptance  nutrition  lifestyle disease  eating  diets life-sciences nutrition
Voice Disorders: What Patients and Professionals Need to Know,Icahn School of Medicine at Mount Sinai,Intermediate,4.9,https://www.coursera.org/learn/voice-disorders,"Welcome to Voice Disorders: What Patients and Professionals Need to Know  Knowledge regarding vocal production physiology and management options for voice disorders have experienced rapid growth over the past 40 years.  This growth has resulted in a knowledge gap amongst patients and practitioners. Entirely new subspecialties of laryngology under otolaryngology and vocology under speech-language pathology have developed in response to this gap.  This MOOC (Massive Open Online Course) is designed to educated patients, allied healthcare providers, vocal trainers/coaches, general medical practitioners and otolaryngologists.  Participants will be exposed to current concepts on the physiology of voice production.  These physiologic principles will be applied to speaking and performance voice production styles. Building on the knowledge of efficient voice production methods, participants will learn how vocal inefficiencies can lead to the development of voice disorders.  Finally, behavioral, medical and surgical management options and indications will be presented.  The course has been divided into five modules, each of which is followed by multiple choice questions:   Week 1 - CME Information, Accreditation and Introduction (2 min) Week 2 - Module 1: Basic Anatomy and Physiology of the Speaking and Singing Voice (29 min. + quiz)  Week 3 - Module 2: Applied Physiology (Function) (20 min. + quiz)  Week 4 - Module 3: Changes in Vocal Effort and Quality (20 min. + quiz)  Week 5 - Module 4: Principles of Voice Evaluation and Examination (17 min. + quiz) Week 6 - Module 5: Medical or Surgical Intervention (33 min. + quiz)   Those participating in this course have the option to receive CME credit. Please review the CME Information and Accreditation prior to proceeding with the course modules.   Release Date: November 29, 2017 Expiration Date: November 29, 2019 Estimated Time to Complete: 3 hours  CME Fee: $30  CME Credits Offered: 3.0   CME Reviewer: Marita S. Teng, MD   How to Receive CME Credit: For physicians who are interested in earning CME credits and other allied health professions who wish to receive a Verification of Attendance certificate, you must:   a. Complete Signature Track (details to follow after enrolling in this course)   b. Complete registration process through the Icahn School of Medicine at Mount Sinai, CME Office using the following link: https://mssm.cloud-cme.com/default.aspx?EID=9&P=3000&CaseID=2 (WARNING: This course is no longer available for CME Credit.)  (You will be required to pay an additional non-refundable fee of $30.00 in addition to the $49.00 fee for signature track.)   c. Email an attached copy of your Verified Certificate from Coursera to the CME office at the Icahn School of Medicine at cme@mssm.edu and request your CME certificate.  d. You will be provided with the instructions for downloading your CME/CE certificate.  Course Planners  Lynette Bobbitt Mark S. Courey, MD Lisa Chase Jill Gregory Gale Justin Paul Lawrence Erik Popil Christopher Smith Kelly Zerella Amy Zhong",anatomy  Speech Language Pathology  sign language  communication disorder  music  Music Therapy  speech and language pathology  medicine  performance  human voice life-sciences patient-care
Teaching Tips for Tricky English Grammar,"University of California, Irvine",Intermediate,4.7,https://www.coursera.org/learn/teaching-common-grammar-mistakes,"This is the third course in the Teach English: Intermediate Grammar specialization. It will be useful to ESL teachers or those interested in learning to teach English language, but it is not an introduction to teaching course. You will learn about some specific problems students have learning intermediate grammar. You will learn why students have trouble with this tricky grammar and find out new ways to help students conquer it. You will also learn a variety of activities for teaching this content in a fun and interesting way. Finally, you will have opportunities to practice the skills you learn by creating sample assignments and recording short videos of your teaching demonstrations using a video camera, webcam, or smartphone. Learners wanting a grade will be required to submit short videos of their teaching skills.  Only learners who pay for the course will be able to take the graded quizzes or submit assignments for feedback. The free version provides access to the lectures and practice activities only.",collocation  formal grammar  teaching  english grammar  assistant teacher  grammar  japanese language  english language  adjective  Student's t-Distribution language-learning learning-english
"Learn to Teach Java:   Boolean Expressions, If Statements, and Iteration",University of California San Diego,Advanced,Not Calibrated,https://www.coursera.org/learn/teach-java-boolean-expressions-if-statements-iteration,"Learn to program with Boolean Expressions, If Statement, and For and While Loops in Java, and prepare to teach others using the free, online interactive CS Awesome textbook.  In this course for teachers we'll guide you both in learning Java concepts and skills but also in how to effectively teach those to your students.  This course will support you in teaching the Advanced Placement Computer Science A course or a similar introductory university-level programming course.  We'll cover the critical Java concepts of selection (if statements) and iteration (loops), as covered in the APCS A Units 3 and 4.  Each topic will begin by relating Java to block-based programming languages and then provide video overviews of CS Awesome content along with additional materials to supplement learning for your students.    You'll engage with additional materials to support your teaching including ""deep dive"" classroom discussion questions, assessment overviews, code tracing and problem solving skills for your students, including preparation for free response coding questions.",specification (technical standard)  iteration  code segment  test case  modulo operation  modeling  market segmentation  for loop  boolean expression  method (computer programming) social-sciences education
Business Writing,University of Colorado Boulder,Beginner,4.7,https://www.coursera.org/learn/writing-for-business,"Writing well is one of the most important skills you can develop to be successful in the business world. Over seventy companies and thirty thousand students--from professional writers to new employees to non-native English speakers to seasoned executives--have used the techniques in Business Writing to power their ability to communicate and launch their ideas. This course will teach you how to apply the top ten principles of good business writing to your work, how to deploy simple tools to  dramatically improve your writing, and how to execute organization, structure, and revision to communicate more masterfully than ever. From the very first lesson, you'll be able to apply your new learning immediately to your work and improve your writing today. Your ideas are powerful. Learn how to deliver them with the clarity and impact they deserve.   ""Thank you for giving me the knowledge I need in life. [Business Writing] was helpful, life changing, and has made a huge     impact in my writing.""  -- Message from a Business Writing student  The principles you'll learn in this course enable you to become a great business writer. They also provide the foundation for moving into Graphic Design and Successful Presentation, so that you can unleash your best professional self whenever--and however--you present your ideas in the workplace.",Business Writing  email writing  Writing  english language  confidence  Communication  Business Communication  email  presentation  grammar business business-essentials
Cyber Threats and Attack Vectors,University of Colorado System,Intermediate,4.6,https://www.coursera.org/learn/cyber-threats-attack-vectors,"Data breaches occur nearly every day.  From very large retailers, down to your fantasy football website, and anywhere in between, they have been compromised in some way.  How did the attackers get in?  What did they do with the data they compromised?  What should I be concerned with in my own business or my systems?  This course is the second course in the Practical Computer Security.  It will discuss types of threats and attack vectors commonly seen in todayï¿½s environment.  I hate to be the bearer of bad news, but threats are all over the place!  This course isnï¿½t designed to insight fear that there is no hope for keeping systems and business secure, but rather educate you on how attacks are carried out so that you have a better sense of what to look out for in your business or with your systems.",passive attack  security  data breaches  vulnerability (computing)  cloud computing security  resource  wireless  breach (security exploit)  threat  Cloud Computing information-technology security
Build a Table Layout App in Android Studio,Coursera Project Network,Beginner,4.5,https://www.coursera.org/learn/build-table-layout-app-android-studio,"In this course you will build an Android app with a Table Layout in Android Studio with the java programming language and will be given an explanation of table layout.  This app will have a piece of text asking the user to select their month of birth from a spinner (a type of drop down menu where the user selects from a set of options). There will be an image (ImageView) next to the spinner which will change to match whichever month the user selects. Beneath this the user will be asked to use a special type of  button (ToggleButton) to indicate if they prefer cats or dogs.  There will be an image (ImageView) next to the button that will change to match the animal which the user selects. Finally, the user will be asked to input a number between one and nine in an input box (EditText). Beneath the input box (EditText) will be an image (ImageView) that will change to match the number input by the user or to an image with ""Do not use"" on it if the user inputs something that is not a numerical digit between one and nine (1, 2, 3, 4, 5, 6, 7, 8, 9). When the user closes the app the program will remember the choices made by the user in their previous visit. You will upload an APK of the app to a website called Appetize.io to test the app.  Projects in Series 1: 1. Build a Simple App in Android Studio with Java 2. Build a Persistent Storage App in Android Studio 3. Build a Linear Layout App in Android Studio 4. Build a Relative Layout App in Android Studio 5. Build a Table Layout App in Android Studio  Projects in Series 2: 1. Build an App in Android Studio using Resources 2. Build an App in Android Studio using Static Files 3. Build an App in Android Studio using Read - Write 4. Build an App in Android Studio using onTouch 5. Build an App in Android Studio using Activities",android studio  upload  matching  java (software platform)  Java Programming  Android Development  drop-down list  Software Engineering  text box  Computer Programming computer-science mobile-and-web-development
Introduction to Genomic Technologies,Johns Hopkins University,Conversant,4.5,https://www.coursera.org/learn/introduction-genomics,"This course introduces you to the basic biology of modern genomics and the experimental tools that we use to measure it. We'll introduce the Central Dogma of Molecular Biology and cover how next-generation sequencing can be used to measure DNA, RNA, and epigenetic patterns. You'll also get an introduction to the key concepts in computing and data science that you'll need to understand how data from next-generation sequencing experiments are generated and analyzed.    This is the first course in the Genomic Data Science Specialization.",Statistical Analysis  genomics  genetics  molecular biology  General Statistics  biology  Bioinformatics  analysis  Biostatistics  computational biology data-science data-analysis
Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),Johns Hopkins University,Intermediate,4.5,https://www.coursera.org/learn/patient-safety-sustainment,"Keeping patient safety and quality improvement projects on track, on time, and on budget is critical to ensuring their success. In this course, students will be introduced and given the opportunity to apply a series of tools to guide and manage patient safety and quality initiatives. These include tools for defining what success looks like, developing a change management plan, and conducting a pre-mortem to identify risks for project failure.  This course will also provide tools for engaging stakeholders to ensure key players are invested in your projectï¿½s success.",leadership  project  Strategy  patient safety  maximization (psychology)  project planning  sustainability  augmented assignment  project plan  Change Management life-sciences patient-care
Big data and Language 2,Korea Advanced Institute of Science and Technology(KAIST),Advanced,5,https://www.coursera.org/learn/big-data-language-2,"In this course, students will understand characteristics of language through big data. Students will learn how to collect and analyze big data, and find linguistic features from the data. A number of approaches to the linguistic analysis of written and spoken texts will be discussed.",text corpus  relative change and difference  language  linguistics  corpora  process  analysis  Big Data  corpus linguistics  search engine optimization language-learning learning-english
Understanding the Australian economy: An introduction to macroeconomic and financial policies,The University of Sydney,Intermediate,4.6,https://www.coursera.org/learn/australian-economy,"This four-week, four-module course explores selective aspects of the Australian economy, with emphasis on macroeconomic and financial policies. The course introduces participants to several key attributes of the Australian economy and discusses how they are influenced by both domestic and international forces. We will examine some of the key issues and dilemmas facing the Australian economy and how policymakers can deal with them using monetary and fiscal policies. There will also be a discussion on the still-fresh 2007-2010s global financial crisis, the lessons learned, and how policymakers deal with the aftermath. Discussions will be centered around sound economic theories and reasoning, and utilize actual data whenever applicable. Applications of the economic reasoning and theories to current, real-world issues pertaining to the Australian economy will also be provided. In addition to conventional lectures, the course also contains several interviews with relevant experts and practitioners. No prior knowledge or training in economics is required.",Finance  economy  inflation  Causality  fiscal policy  gross domestic product  Economics  banking in australia  monetary policy  crisis social-sciences economics
Bayesian Statistics: Mixture Models,"University of California, Santa Cruz",Beginner,4.8,https://www.coursera.org/learn/mixture-models,"Bayesian Statistics: Mixture Models introduces you to an important class of statistical models. The course is organized in five modules, each of which contains lecture videos, short quizzes, background reading, discussion prompts, and one or more peer-reviewed assignments. Statistics is best learned by doing it, not just watching a video, so the course is structured to help you learn through application.   Some exercises require the use of R, a freely-available statistical software package. A brief tutorial is provided, but we encourage you to take advantage of the many other resources online for learning R if you are interested.  This is an Advanced course, and it was designed to be the third in UC Santa Cruz's series on Bayesian statistics, after Herbie Lee's ""Bayesian Statistics: From Concept to Data Analysis"" and Matthew Heiner's ""Bayesian Statistics: Techniques and Models."" To succeed in the course, you should have some knowledge of and comfort with calculus-based probability, principles of maximum-likelihood estimation, and Bayesian estimation.",data clustering algorithms  Mixture Model  Bayesian Statistics  mixture distribution  markov chain  Algorithms  Studentized Residual  sampling statistics  General Statistics  Bayesian data-science data-analysis
Networking and Security in iOS Applications,"University of California, Irvine",Advanced,4.6,https://www.coursera.org/learn/security,"You will learn to extend your knowledge of making iOS apps so that they can securely interact with web services and receive push notifications. You'll learn how to store data securely on a device using Core Data.  Youï¿½ll also learn to securely deploy apps to the App Store and beta users over-the-air.  The format of the course is through a series of code tutorials.  We will walk you through the creation of several apps that you can keep as a personal app toolbox.  When you make your own apps after this course, you can bring in these capabilities as needed.  When necessary we pop out of the code tutorials to talk about concepts at a higher level so that what you are programming makes sense.  Upon completing this course, you will be able to: 1.       Post Facebook, Twitter, Sina Weibo, Tencent Weibo messages to social media using single sign-on on behalf of a user. 2.       Use OAuth 2.0 to securely authenticate to Instagram and retrieve photos on behalf of a user 3.       JSON 4.       Describe JSONï¿½s syntax 5.       Write well-formed JSON 6.       Work with JSON data objects in Objective-C 7.       Appropriately set the security settings for App Transport Security in iOS 9.0 8.       Use http, https and https with perfect forward secrecy to fetch web resources 9.       Obtain permissions to receive local push notifications 11.       Write an app that can send and receive local push notifications 12.       Obtain permissions to receive remote push notifications 13.       Write an app that can receive remote push notifications 14.       Authenticate using Appleï¿½s cryptographic services such that the developer can use 3rd party infrastructure to send remote push notifications to their app. 15.       Securely store data on the userï¿½s device. 16.       Authenticate using Appleï¿½s cryptographic services such that they can deploy an app to the app store",oauth  javascript syntax  iOS Development  authentication  hypertext transfer protocol  uniform resource locator  web service  single sign-on  web  push technology computer-science computer-security-and-networks
Improving Math Engagement with Prodigy,Coursera Project Network,Beginner,4.8,https://www.coursera.org/learn/teaching-prodigy,"By the end of this project, you will have discovered an excellent math website that has been proven to increase student engagement and even improve their math skills. Prodigy is a free math website where students enjoy learning math as they explore and work through a fantasy world complete with epic questions and in-game rewards. While students are enjoying the game, teachers are gathering valuable data that shows what math skills their students already have and where they need to improve. As a teacher, you can assign specific questions and content to your students so that the skills they practice while playing the game are aligned to the skills you are focusing on in class. Watch student engagement and skill increase in leaps and bounds as you use Prodigy in your classroom or at home.   *You will need a free Prodigy account for this project.",Accounting  Mathematics  student engagement  child  Strategy  Factorial  project mine  home  home directory  project social-sciences education
Molecular Evolution (Bioinformatics IV),University of California San Diego,Advanced,4.7,https://www.coursera.org/learn/molecular-evolution,"In the previous course in the Specialization, we learned how to compare genes, proteins, and genomes.  One way we can use these methods is in order to construct a ""Tree of Life"" showing how a large collection of related organisms have evolved over time.  In the first half of the course, we will discuss approaches for evolutionary tree construction that have been the subject of some of the most cited scientific papers of all time, and show how they can resolve quandaries from finding the origin of a deadly virus to locating the birthplace of modern humans.  In the second half of the course, we will shift gears and examine the old claim that birds evolved from dinosaurs.  How can we prove this?  In particular, we will examine a result that claimed that peptides harvested from a T. rex fossil closely matched peptides found in chickens. In particular, we will use methods from computational proteomics to ask how we could assess whether this result is valid or due to some form of contamination.  Finally, you will learn how to apply popular bioinformatics software tools to reconstruct an evolutionary tree of ebolaviruses and identify the source of the recent Ebola epidemic that caused global headlines.",Bioinformatics  phylogenetic tree  introduction to evolution  Molecular Evolution  hindley milner type system  evolution  computational biology  phylogenetics  genomics  biotechnology life-sciences health-informatics
Exception Handling in Python,Coursera Project Network,Beginner,4.7,https://www.coursera.org/learn/exception-handling-in-python,"In this 1-hour long project-based course, you will learn the differences between an exception and syntax errors, how to raise an exception, what an AssertionError exception is within Python, how to use the try, except and else clause and how to use the finally clause and any clean-up actions. By the end of this project, you will have an understanding of error and exception handling in python.  Once you have a beginner's knowledge of python programming and start coding you may find that something disrupts the normal flow of the program you have built. You may find yourself with errors in your code. This course will provide students with the knowledge behind exception handling in python and show how to write high-quality code to ensure that if your python scripts encounter a situation that it cannot cope with that the right procedures are in place to provide meaningful information and deal with those errors. Thus, ensuring that your code is efficient and robust which is an essential aspect of writing high-quality code. This project will take students through a number of examples demonstrating several of the most useful python exceptions. You will gain an understanding of exception handling in python from the in-depth examples provided.",Python Programming  exception handling  relative change and difference  approximation error  ordered pair  compiler  Type I And Type Ii Errors  Computer Programming  project  syntax computer-science software-development
